Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
HiQ Sil C18,6.02,1.46,1.45,0.67,0.88,0.12,10,5,1,120
Hypersil 100 HS C18,7.66,1.53,1.4,0.42,1.01,0.25,10,5,1,100
Hypersil BDS C18,4.5,1.47,1.49,0.39,0.19,0.17,10,5,1,130
Hypersil BDS phenyl,0.52,1.24,1,0.85,0.56,0.25,30,5,1,130
Hypersil Duet Cation,1.98,1.48,1.55,1.28,7.36,13.63,2,5,1,120
Hypersil Elite C18,4.76,1.49,1.52,0.37,0.3,0.14,10,5,1,120
Hypersil GOLD,2.42,1.42,1.3,0.34,0.35,0.12,9,5,1,175
Hypersil GOLD aQ,2.09,1.44,2.33,0.69,1.42,0.12,6,5,1,175
Hypersil GOLD PFP,0.7,1.25,2.55,1.02,0.94,0.17,28,5,1,175
Hypersil Gold PFP 1.9 µm,0.53,1.11,2.45,1.15,1.63,0.34,28,1.9,1,175
Hypersil Gold PFP 3.0 µm,0.78,1.21,2.37,0.58,0.58,0.17,28,3,1,175
Hypersil GOLD phenyl 3um,0.88,1.3,1.04,1.04,0.44,0.12,30,3,1,175
Hypersil ODS,4.44,1.45,1.28,0.38,1.04,0.64,10,5,1,120
Hypersil phenyl,0.47,1.25,0.92,2.04,2,0.85,30,5,1,120
HyPURITY Advance (C8),1.13,1,1.59,0.39,0.8,0.13,25,5,1,190
HyPURITY AQUASTAR,1.32,1.39,2.65,1.25,2.66,0.13,6,5,1,190
HyPURITY C18,3.2,1.47,1.6,0.37,0.29,0.1,10,5,1,190
HyPURITY C4,0.55,1.3,0.72,0.44,0.3,0.1,15,5,1,190
HyPURITY C8,1.59,1.35,1,0.34,0.3,0.11,16,5,1,190
HyPURITY CN,0.08,1.12,1.87,0.81,2.21,0.08,19,5,1,190
Inertsil CN3,0.57,1.04,1.97,0.26,3.27,0.03,19,5,1,100
Inertsil ODS,6.31,1.47,1.57,0.36,0.53,0.01,10,5,1,100
Inertsil ODS3,7.74,1.45,1.29,0.48,0.29,0.01,10,5,1,100
Inertsil phenyl,1.03,1.26,1,1.04,0.57,0.09,30,5,1,150
InertSustain C18,8.35,1.48,1.21,0.42,0.29,0.1,10,5,1,100
Interchrom RPX 2.2 µm,5.44,1.45,1.25,0.67,0.91,0.08,34,2.2,1,100
J'Sphere JH ODS,10.6,1.51,1.59,0.39,0.43,0.06,10,0,1,80
Jupiter 3 µm C18 300A,2.57,1.45,1.44,0.37,0.36,0.12,10,3,1,300
Kinetex Biphenyl,1.81,1.31,1.52,2.14,0.8,0.16,8,2.6,0,100
Kinetex C18 1.7 µm,3.6,1.47,1.28,0.46,0.12,0.09,10,1.7,0,100
Kinetex C18 2.6 µm sp,3.59,1.45,1.26,0.46,0.41,0.1,10,2.6,0,100
Kinetex C8,1.84,1.35,1.15,0.36,0.42,0.09,16,2.6,0,100
Kinetex EVO C18,3.07,1.44,1.12,0.42,0.37,0.09,10,2.6,0,100
Kinetex F5,1.36,1.32,2.29,0.77,0.71,0.13,28,2.6,0,100
Kinetex PFP 2.6 µm sp,1.38,1.26,2.56,0.61,1.26,0.39,28,2.6,0,100
Knaur Blue Orchid 175 1.8um C18,3.08,1.42,1.32,0.36,0.42,0.12,10,1.8,1,175
Knaur Blue Orchid 175 1.8um C18A,3.71,1.45,2.08,0.45,0.77,0.11,10,1.8,1,175
Kromasil C18,7.01,1.48,1.53,0.4,0.31,0.11,10,5,1,100
Kromasil Eternity C18 2.5 µm,5.21,1.42,1.15,0.45,0.22,0.09,10,2.5,1,100
Kromasil Eternity C18 5.0 µm,5.08,1.41,1.18,0.46,0.22,0.1,10,5,1,100
Kromasil Eternity phenyl hexyl 2.5 µm,3.44,1.35,1,0.62,0.4,0.11,30,2.5,1,100
Kromasil phenyl,2.02,1.3,1,0.96,0.48,0.13,30,5,1,100
